init_joint_angles,x_target,y_target,Theta,iter_count,cost
[-1.2788356   0.75979713  0.48106151],-0.6847363396058385,0.32975164172934424,"[[-2.85687935  0.88802094 -0.42366499]
 [-5.22606176 -1.35533326  0.24165154]
 [ 1.18620484 -0.87118192  0.25812644]
 [-1.05296865  0.58645389 -0.62206272]
 [-0.37285798 -0.55150453 -0.09663086]
 [-1.58075012  0.07945573 -0.90107102]
 [-1.32403922 -0.04248597 -0.70764685]
 [-2.61270939  0.08710104  0.79655092]
 [-0.93777886  0.02575805 -0.48971057]
 [-1.69964878 -0.4625187  -0.08326907]]",18,52.128761482154864
[-1.2788356   0.75979713  0.48106151],-0.6847363396058387,-0.3297516417293438,"[[-3.14584124 -0.48510634  0.07999969]
 [-4.04123869 -0.72509694  0.93020439]
 [ 4.27439122 -0.32815849 -0.4379672 ]
 [-7.39341496 -0.17247835  0.31718324]
 [-3.3177674  -0.24121856 -0.32393853]
 [-3.25416022 -1.0507363  -0.55440596]
 [-0.11602779  0.31261636 -0.08619649]
 [-3.65484922 -0.14740045  0.1918591 ]
 [-3.26164973 -0.0344293   0.70815719]
 [ 2.52573244 -0.02001495  0.48858523]]",16,6.901872813232237
[-1.2788356   0.75979713  0.48106151],-0.16911590980679975,-0.7409452132581857,"[[-4.45305841 -1.88757212 -1.37405607]
 [-0.85284594 -0.10625493 -0.00741009]
 [-2.28899451 -0.73184275 -1.16548912]
 [-3.188691   -0.99833288 -1.73521472]
 [-1.44707022  0.92575792 -0.6593003 ]
 [-3.7875555  -0.63283672  0.42749219]
 [ 0.24773609 -0.07998229  1.43261008]
 [-3.73804368  0.61482609  0.36296004]
 [ 4.78098517 -0.49219211  1.9847516 ]
 [ 5.45550331  0.7452007  -1.19900696]]",31,16.850247823307026
[-1.2788356   0.75979713  0.48106151],0.47385224941263737,-0.5941919266757028,"[[-2.20878889 -0.93083907 -1.21834684]
 [-2.14056437 -1.12873713 -0.76238566]
 [-1.61275002 -0.8636673  -0.31362805]
 [-1.35424762 -0.41715096 -0.56244889]
 [-0.76372924  0.37599771 -0.00421988]
 [-2.16084904  0.13219547 -0.69103334]
 [ 0.81199001  0.15219497  0.39691661]
 [ 0.49450977  0.26901855 -0.18702313]
 [ 0.43362165  0.84203229  0.62760104]
 [-3.35472548  0.09521977  0.64759074]]",26,57.58810843523181
[-1.2788356   0.75979713  0.48106151],0.76,-8.61161912442493e-16,"[[ 0.64768194 -8.49432088 -0.5938893 ]
 [ 2.07865629 -4.15168536 -3.31870554]
 [-1.14500556 -0.34452372 -2.35458355]
 [ 0.0307446   0.81736003 -0.16189006]
 [-0.14904127  1.09410948 -2.29360672]
 [ 1.9983799   0.59042258 -0.55678256]
 [ 1.11247873 -1.171024   -0.27351013]
 [-2.19936712  3.36304734 -0.5976458 ]
 [ 0.19975993  2.35442145 -0.56110475]
 [ 1.67313738 -0.22829762 -1.34091111]]",90,28.719820544681532
[-1.2788356   0.75979713  0.48106151],0.88,0.0,"[[-8.50264816e-01 -1.31973818e-01 -4.17770411e-02]
 [-1.50191306e+00 -9.21330901e-01  4.60446740e-01]
 [-3.95192730e-01 -2.48299237e-01 -2.20200207e-01]
 [ 7.09566168e-02 -1.55254846e-01 -2.90287749e-01]
 [-6.56567412e-01  4.20015476e-02  7.35150190e-02]
 [ 9.43407150e-01  1.55447087e-01 -6.05001726e-01]
 [-4.96265783e-01 -1.77772918e-02 -4.63512375e-01]
 [ 5.05104683e-01 -1.39050267e-03  1.95232976e-01]
 [-2.78862216e-01 -6.77265243e-01 -2.97841599e-01]
 [-8.21296499e-01 -4.08253191e-01  3.40032853e-01]]",19,39.3803964755304
[-1.2788356   0.75979713  0.48106151],0.6222539674441618,0.6222539674441617,"[[ 0.50322009 -1.74549695 -4.11876343]
 [ 1.87757181 -2.01099989  0.08537543]
 [ 0.28288582 -0.95027895 -0.16361486]
 [ 0.10213303  0.75362498  1.09222623]
 [-0.52934062 -1.56450493 -0.5624129 ]
 [-0.12720438 -0.05263633 -2.35141878]
 [-0.53178417  0.32706328  0.67418453]
 [-0.4113709  -0.10505172 -1.12361084]
 [ 0.83157553  0.33275599 -1.07778904]
 [-0.05530892 -0.07674914  0.73316579]]",27,0.33742394982564483
[-1.2788356   0.75979713  0.48106151],5.388445916248354e-17,0.88,"[[-2.85840572 -3.3492734  -3.52396096]
 [ 1.32182799 -0.63048806  2.10904023]
 [ 0.73639812 -0.81266587 -0.26990201]
 [-0.87178308  0.25072523 -0.99241696]
 [-0.43829443  0.27387261  0.67970651]
 [-0.53357474  0.44094765  0.45283305]
 [ 2.43620509  0.20995089 -2.8782061 ]
 [ 0.75201679 -0.15683878  0.52006797]
 [ 0.68852712  0.30435606  0.20096447]
 [-0.43691858  0.61355138 -1.57134586]]",36,39.13533681803818
[-1.2788356   0.75979713  0.48106151],-0.6222539674441617,0.6222539674441618,"[[-2.16235517  0.77045473 -1.73622575]
 [-0.44338101 -1.1975728   2.35133054]
 [-2.43417486 -1.13428437 -0.07737483]
 [-1.04998531 -0.37508523  0.13049333]
 [-3.04459617 -0.60103836 -0.14841059]
 [ 1.75776095  0.03760226 -0.5792387 ]
 [-1.42626529 -0.95558239  0.04986583]
 [-1.51706665 -1.42540284 -0.01672349]
 [ 0.98381824  0.0050153  -0.23631934]
 [ 1.05707146 -1.06554256  0.26943041]]",37,77.94971070402315
[-1.2788356   0.75979713  0.48106151],-0.88,1.0776891832496708e-16,"[[-5.56849133e+00  5.19388652e-01 -2.32836593e-01]
 [-2.85895057e+00 -1.10095212e+00  4.54843289e-02]
 [-6.52546344e-01 -5.70660044e-01 -1.00353766e+00]
 [ 2.72474955e+00 -1.90626031e-01  8.16569830e-01]
 [-3.09643949e+00  6.45973184e-01  3.16419955e-01]
 [-6.76474490e+00 -4.95521659e-01  7.51486244e-01]
 [-5.38605106e+00  1.69458844e-01  7.07484137e-01]
 [ 2.69727625e+00 -3.18024088e-01  3.79133777e-01]
 [ 6.68119678e-02 -2.19679490e-03  4.26863258e-01]
 [-1.17009474e+00 -1.10152088e+00 -4.49697031e-01]]",18,39.38652393196566
