init_joint_angles,x_target,y_target,z_target,Theta,iter_count,cost
[0.         0.52359878 1.57079633 1.57079633],0.1848062154212286,0.0,0.0672639615207148,"[[-3.76247252e-01  1.95761364e+00 -3.41686999e+00 -1.02191409e+01]
 [-2.96203676e+00  7.48545991e-01 -3.19694078e+00 -2.97036045e+00]
 [ 2.30744402e-01  2.66694977e+00 -1.08161897e+00 -5.95085109e-01]
 [-2.46391465e-02  2.16206986e+00  6.03338554e-01  2.84581186e+00]
 [ 2.76962746e-01  1.27671107e-04 -1.52578825e-01  3.59643651e-01]]",45,4.450905269384871
[0.         0.52359878 1.57079633 1.57079633],0.1848062154212286,0.0,0.0672639615207148,"[[-1.18372457e+00  5.14860480e+00 -5.93378127e+00 -4.67003145e+00]
 [ 1.16921891e-04 -3.23726107e-01 -1.95795272e+00 -2.07675805e+00]
 [-1.00800014e+00  2.40471375e+00 -4.23694165e+00 -1.98969947e+00]
 [-3.04616054e-01  1.63930682e+00  1.19447326e+00  2.27447294e-01]
 [-1.08823995e-01  1.30116942e+00 -2.92327834e+00  1.49837224e+00]]",32,4.776410451261167
[0.         0.52359878 1.57079633 1.57079633],0.1736610369066995,0.063207448285843,0.0672639615207148,"[[ 1.71767692  5.85870691 -5.82751405 -3.6570528 ]
 [ 0.74744456 -1.1696621  -2.41418438 -2.75894535]
 [-1.85942549  2.09200995 -4.75916753 -2.18890225]
 [ 0.78262081  1.70263994  0.99983269 -0.30867858]
 [ 0.7503049   1.87222753 -2.81633335  1.82689551]]",33,1.8554625068229216
[0.         0.52359878 1.57079633 1.57079633],0.141569774377281,0.1187911454658272,0.0672639615207148,"[[ 2.99371832  5.71627734 -5.81009479 -3.30503044]
 [ 1.13739627 -1.01214542 -2.70901317 -3.1023953 ]
 [-1.59968451  1.75869762 -4.34390397 -2.30216488]
 [ 0.89848713  2.24196685  0.66163627 -0.24322441]
 [ 1.90786463  2.10096615 -2.37374401  2.01860222]]",29,1.7684992117979976
[0.         0.52359878 1.57079633 1.57079633],0.0924031077106143,0.1600468773320434,0.0672639615207148,"[[ 2.6967476   6.87957436 -4.71551031 -3.47446684]
 [ 2.02198729 -1.92516528 -2.80783193 -3.06028387]
 [-0.14150028  1.37247011 -4.6739576  -2.24095905]
 [ 2.12820011  2.28922992 -0.20125688 -0.33717502]
 [ 2.13097982  2.17166113 -2.81085802  2.01936782]]",31,1.770629960822676
[0.         0.52359878 1.57079633 1.57079633],0.0320912625294185,0.1819985937516702,0.0672639615207148,"[[ 5.00624421  7.89519527 -3.5160968  -3.22929362]
 [ 2.3362739  -2.04013692 -3.53264222 -3.4828993 ]
 [-0.1311172   0.53371834 -5.36451115 -1.72336484]
 [ 1.47854946  1.86573763 -0.51321633 -1.07595857]
 [ 1.33268846  0.78891636 -3.81395435  2.8463751 ]]",53,1.7852883799276524
[0.         0.52359878 1.57079633 1.57079633],-0.0320912625294185,0.1819985937516702,0.0672639615207148,"[[ 5.80304517  7.27906484 -7.61658049 -5.02783783]
 [ 4.29079511 -2.67299083 -1.73031333 -1.40192854]
 [-1.07117268  2.16859272 -5.67949572 -1.99577898]
 [ 2.11229855  2.07465805  0.38631112 -0.77114848]
 [ 1.15986003  1.11593634 -2.43316802  2.66868056]]",72,1.743107441195247
[0.         0.52359878 1.57079633 1.57079633],-0.0924031077106142,0.1600468773320435,0.0672639615207148,"[[ 6.26826923  7.08169861 -8.75219969 -3.70651524]
 [ 5.1751219  -2.20168945 -2.64963753 -2.71083164]
 [-0.24987175  2.06946301 -6.73912334 -2.81572576]
 [ 2.61358856  1.88073737  1.04905932 -0.25097373]
 [ 0.96873698  0.92091895 -3.2826799   2.75569617]]",24,2.223624117183777
[0.         0.52359878 1.57079633 1.57079633],-0.1415697743772809,0.1187911454658272,0.0672639615207148,"[[ 6.69450675  6.46194789 -7.73833615 -4.33879014]
 [ 6.63356832 -2.05798493 -1.36290854 -2.33651437]
 [ 1.11781619  2.57325689 -7.02678276 -2.43686458]
 [ 1.74850092  2.02500506  0.65117525  0.07979045]
 [ 1.04045485  1.37409123 -1.83885483  2.84817563]]",21,2.4562082680593504
[0.         0.52359878 1.57079633 1.57079633],-0.1736610369066995,0.063207448285843,0.0672639615207148,"[[ 7.0761529   6.9569648  -3.93122162 -3.68808092]
 [ 9.73379469 -1.84709435 -1.84201703 -3.81608035]
 [ 0.29226762  3.29006228 -7.94658761 -0.98446598]
 [ 0.77277766 -0.58874944  2.41945077 -0.34002869]
 [-0.06660758  0.39085557 -0.99582015  2.75967088]]",109,2.795402754946973
