init_joint_angles,x_target,y_target,Theta,iter_count,cost
[ 0.53623095 -2.44887214],0.7,-1.7145055188062944e-16,"[[-21.39974576  -8.21599456]
 [-11.9104289   -6.67888635]
 [ -4.42755542  -4.97140393]
 [  0.88104769  -2.70389542]
 [ -5.12168599   2.0869221 ]]",22,19.173681287575594
[ 0.53623095 -2.44887214],0.8,0.0,"[[-21.44803576  -8.42617027]
 [-12.01167815  -7.03024196]
 [ -4.3977899   -4.90881147]
 [  0.9051862   -2.72022963]
 [ -4.75473296   2.28954242]]",14,26.64373431051498
[ 0.53623095 -2.44887214],0.692820323027551,0.39999999999999997,"[[-21.94670298  -8.79310137]
 [-12.11194887  -7.06638772]
 [ -4.90217315  -4.91881622]
 [  0.89497401  -2.52238282]
 [ -4.60671589   2.6129203 ]]",6,-1.2117940539217489
[ 0.53623095 -2.44887214],0.40000000000000013,0.6928203230275509,"[[-21.95212674  -9.0828124 ]
 [-12.05026976  -6.63699294]
 [ -4.78562683  -5.26463578]
 [  0.56788481  -2.23708798]
 [ -4.57272594   2.60814444]]",12,-1.2153419382140924
[ 0.53623095 -2.44887214],4.898587196589413e-17,0.8,"[[-21.37032674  -8.61653278]
 [-12.08802462  -6.88875729]
 [ -4.6908526   -4.78765205]
 [  0.78656842  -2.00225372]
 [ -4.46977127   2.67543127]]",8,26.616210803632
[ 0.53623095 -2.44887214],-0.39999999999999986,0.6928203230275511,"[[-20.83321618  -8.3833415 ]
 [-11.54699075  -6.7691801 ]
 [ -4.25231294  -4.50406145]
 [  1.02642606  -1.72067385]
 [ -4.41607263   2.67118738]]",11,54.58814811243581
[ 0.53623095 -2.44887214],-0.6928203230275508,0.4000000000000003,"[[-20.29079782  -8.15673228]
 [-10.50742811  -6.6332646 ]
 [ -3.83929172  -4.65273248]
 [  1.24670479  -1.54944146]
 [ -3.71051167   2.82640733]]",10,54.86626522662281
[ 0.53623095 -2.44887214],-0.8,9.797174393178826e-17,"[[-19.73268603  -5.795933  ]
 [-10.05892925  -6.02428989]
 [ -3.51264743  -4.67169197]
 [  1.52803657  -2.18926772]
 [ -3.35105995   2.12634124]]",18,27.36404434959504
[ 0.53623095 -2.44887214],-0.6928203230275513,-0.3999999999999995,"[[-18.62354325  -5.85279275]
 [ -9.87382284  -5.71313096]
 [ -3.38706649  -4.51357158]
 [  1.4559585   -1.931438  ]
 [ -3.04254104   1.99654042]]",8,-0.11415555404197061
[ 0.53623095 -2.44887214],-0.40000000000000036,-0.6928203230275507,"[[-18.85423112  -6.09751529]
 [ -9.87986442  -5.68809253]
 [ -3.32289204  -4.47086879]
 [  1.90336387  -1.91848957]
 [ -3.28193098   1.99909343]]",4,-0.1102390253602677
[ 0.53623095 -2.44887214],-1.4695761589768238e-16,-0.8,"[[-19.6174632   -6.4397258 ]
 [-10.59485666  -5.46505546]
 [ -3.36242716  -4.47731775]
 [  2.17663151  -1.81094843]
 [ -3.47035953   1.85630429]]",10,27.36287701378242
[ 0.53623095 -2.44887214],0.39999999999999947,-0.6928203230275513,"[[-21.47736127  -7.6349461 ]
 [-11.0127277   -5.54169577]
 [ -2.72749937  -4.9564822 ]
 [  2.51313502  -0.67258708]
 [ -3.4522343    2.56171471]]",18,54.78670832054014
[ 0.53623095 -2.44887214],0.6928203230275504,-0.400000000000001,"[[-22.35771715  -8.38334285]
 [-11.47883349  -5.84794254]
 [ -3.11935702  -5.12271592]
 [  2.75111925  -0.7289494 ]
 [ -3.87763013   1.12541287]]",16,54.536649375047496
[ 0.53623095 -2.44887214],0.8,-1.9594348786357652e-16,"[[-22.81014984  -9.09255806]
 [-12.10621954  -6.11620277]
 [ -3.52295242  -5.72623524]
 [  2.94278984  -0.55723073]
 [ -4.09327202   0.96423035]]",15,26.631917586209028
