init_joint_angles,x_target,y_target,z_target,Theta,iter_count,cost,gen_q
[0.         0.52359878 1.57079633 1.57079633],-0.1004748078038201,0.3092296618786651,0.2728276298891755,"[[ 3.56424824  2.09621445 -4.96190191 -1.7161409 ]
 [ 5.32198477  0.36154108  1.89846231  0.7352192 ]
 [ 1.96174152  1.16149765 -0.02383426 -1.66588659]
 [ 2.13843184  1.64755169  0.57847187 -0.77459092]
 [ 2.64250162 -2.01090863  0.06753368  0.91523424]]",8,1.8162601217280272,[1.7765097  1.11795516 1.00265759 1.17650788]
[0.         0.52359878 1.57079633 1.57079633],-0.1625716540396941,0.2815823646672605,0.2728276298891755,"[[ 4.45990929  2.07308712 -4.78471345 -2.02712924]
 [ 5.61073009  0.55259998  1.97301748  0.62662189]
 [ 1.96451522  1.60264524 -0.05345918 -2.28582658]
 [ 2.02432796  1.08769665  0.52215803 -1.25047405]
 [ 3.19959039 -1.84261346 -0.1576943   0.74765344]]",10,2.028508908400736,[1.98111986 1.15518792 1.03270996 1.00977529]
[0.         0.52359878 1.57079633 1.57079633],-0.2175633388886862,0.2416285669377997,0.2728276298891755,"[[ 4.91728942e+00  2.42377848e+00 -4.42590418e+00 -2.37010037e+00]
 [ 5.77809796e+00  1.93390926e-01  2.07727879e+00  3.49896527e-01]
 [ 2.49767592e+00  1.63810753e+00 -1.68658438e-01 -1.77538715e+00]
 [ 2.67691449e+00  4.34435962e-01  6.97233666e-01 -1.01483042e+00]
 [ 3.49467421e+00 -1.60304845e+00  2.38329996e-03  8.49959315e-01]]",9,2.2425978249499487,[2.18699489 1.13448438 1.11342938 0.97917388]
[0.         0.52359878 1.57079633 1.57079633],-0.2630464618435144,0.1911144413706527,0.2728276298891755,"[[ 5.59822928  2.55562581 -4.6592521  -2.28255019]
 [ 6.22149723  0.14285835  1.7305995   0.11287992]
 [ 2.84933374  1.54541779  0.29469033 -1.7991989 ]
 [ 2.64538873  0.67107634  0.71444331 -0.56376408]
 [ 3.74769216 -1.39041527 -0.04251175  0.65278642]]",6,2.4512082243746005,[2.40950076 1.16061849 1.07043368 0.98190217]
[0.         0.52359878 1.57079633 1.57079633],-0.2970331921788141,0.1322476976467712,0.2728276298891755,"[[ 5.7495172   3.06423732 -4.9789536  -1.75041263]
 [ 7.04921587 -0.49293781  1.74245398 -0.25011961]
 [ 3.50492275  1.42674577  0.29300805 -1.89668099]
 [ 2.54800569  0.38964826  1.18862323 -0.0118488 ]
 [ 4.17156781 -1.86802117  0.27092994  1.34509086]]",9,2.656324635508813,[2.62428695 1.11920846 1.05233739 1.06418   ]
[0.         0.52359878 1.57079633 1.57079633],-0.3180381466925064,0.0676010949408652,0.2728276298891755,"[[ 6.20168182e+00  3.83313674e+00 -5.15437756e+00 -2.09021613e+00]
 [ 7.54805143e+00 -5.75665800e-01  1.29815015e+00 -3.06176855e-01]
 [ 3.97694659e+00  1.28648581e+00  1.71038905e-01 -1.42481297e+00]
 [ 2.63785330e+00  1.30297485e-01  9.43085418e-01 -6.75958048e-03]
 [ 4.12422161e+00 -1.87260722e+00  1.85657701e-01  1.45022869e+00]]",7,2.8785127391375824,[2.8273053  1.21221328 0.92873854 1.04731561]
[0.         0.52359878 1.57079633 1.57079633],0.2485445424121285,0.0,0.2962038513393381,"[[-0.53209561  1.92953241 -1.76077294 -5.60588192]
 [ 0.42629617  1.77353177  0.10837338  0.49577863]
 [ 0.00994772  1.85077375 -0.90353118  0.35955723]
 [-0.38534788 -0.04187134 -0.17798992 -0.33249727]
 [ 0.30467073  0.9544867  -0.03721161  0.41093154]]",30,1.3917179517092966,[-0.04889909  1.32310659  1.17241607  0.68067515]
[0.         0.52359878 1.57079633 1.57079633],0.2485445424121285,0.0,0.2962038513393381,"[[-0.51802351  1.4711388  -2.18516338 -4.34130586]
 [ 0.25587822  2.54884627  0.27158514 -0.95783986]
 [ 0.32932014  1.79706958  0.31984233 -0.89543262]
 [-0.85237433 -0.29547906 -0.00839157 -0.57494706]
 [ 0.6113309   0.07667334  0.31802607 -0.03037855]]",42,1.348301931728462,[-0.05994428  1.31116682  1.26443769  0.54342164]
[0.         0.52359878 1.57079633 1.57079633],0.2384767420746678,0.0700230894227521,0.2962038513393381,"[[ 0.05052473  1.1619743  -2.14976183 -4.27734726]
 [ 1.30053125  2.82046393  0.35988089 -1.24840623]
 [ 0.11081299  1.6845049   0.47236003 -0.73420758]
 [-0.02627902  0.17354217  0.06663073 -0.66786952]
 [ 0.10893763 -0.11304105  0.24644305 -0.62185685]]",12,1.3350869914264378,[0.20580428 1.30859384 1.30176527 0.51044811]
[0.         0.52359878 1.57079633 1.57079633],0.2090889743701125,0.1343733245838206,0.2962038513393381,"[[ 1.2115126   1.55114795 -2.28808889 -4.60966083]
 [ 1.91351733  3.010843    1.00360017 -1.51936514]
 [ 0.20835333  1.15103714 -0.07845915 -0.666198  ]
 [-0.32951632  0.12407545 -0.05746704 -0.31778163]
 [ 0.14051085 -0.56545825  0.1138919  -0.21487261]]",8,1.3476819393731638,[0.4889672  1.3361822  1.30193621 0.45153182]
[0.         0.52359878 1.57079633 1.57079633],0.1627620614621015,0.18783743213604,0.2962038513393381,"[[ 1.68679526  1.50896794 -1.9561902  -3.56115713]
 [ 2.95355874  2.8682742   0.29836172 -2.32005879]
 [ 0.69972511  1.39624047 -0.13833384 -0.58093871]
 [-0.01326188 -0.01730815 -0.13120346 -0.33540625]
 [ 0.39073076 -0.76164348  0.81612267  0.31529811]]",22,1.350216772899831,[0.79579804 1.32023369 1.26564987 0.54205422]
[0.         0.52359878 1.57079633 1.57079633],0.1032491343176823,0.2260840680488202,0.2962038513393381,"[[ 3.13403982  1.80044329 -2.17904146 -4.33548317]
 [ 2.89767424  2.63764859  0.48439724 -1.1856007 ]
 [ 0.94680854  1.0254842  -0.24518864 -1.08337731]
 [-0.02198369  0.25141332  0.3374336  -0.22077872]
 [ 0.34139389 -0.93742278  0.63636423  0.55287313]]",15,1.3502091511732113,[1.06595456 1.31353854 1.26689104 0.52832823]
[0.         0.52359878 1.57079633 1.57079633],0.0353715763570897,0.2460147173420097,0.2962038513393381,"[[ 3.72417517  2.28564645 -1.71100061 -4.14241683]
 [ 3.51953485  2.52033657  0.31740495 -1.70642779]
 [ 1.92475243  0.80429352 -0.63277388 -1.10149391]
 [-0.13567561  0.26360751 -0.02003062 -0.10831009]
 [-0.16819372 -1.26355755  0.49064278  0.55131075]]",8,1.3687528419431638,[1.33904519 1.35289933 1.26044163 0.49339809]
[0.         0.52359878 1.57079633 1.57079633],-0.0353715763570896,0.2460147173420097,0.2962038513393381,"[[ 4.53929571  2.04362072 -1.50217462 -4.39225901]
 [ 3.75894422  2.62856369  0.42178157 -1.6648408 ]
 [ 2.1037174   1.12829683 -0.28482397 -1.47022555]
 [-0.15063849  0.18956531  0.10637122 -0.29067897]
 [ 0.74842558 -1.33601253  0.2586763   0.80091728]]",12,1.6118737666028422,[1.55488661 1.3524872  1.34998173 0.41219308]
[0.         0.52359878 1.57079633 1.57079633],-0.1032491343176822,0.2260840680488202,0.2962038513393381,"[[ 5.49806376  1.54931283 -1.52188298 -5.42401535]
 [ 4.47876983  2.98874412  0.6561338  -1.36334872]
 [ 2.43869593  1.42236345 -0.18615582 -1.12000044]
 [-0.1487069   0.37596527  0.21687326 -0.7338943 ]
 [ 0.61450905 -1.29421359  0.24366381  2.15544572]]",10,1.8979936444136565,[1.85698129 1.35921608 1.39637319 0.31299608]
[0.         0.52359878 1.57079633 1.57079633],-0.1627620614621014,0.1878374321360401,0.2962038513393381,"[[ 6.69138256  1.39052906 -0.78277683 -5.76418269]
 [ 4.25210512  2.59361391  0.6136168  -1.29990269]
 [ 2.55336077  1.73445917 -0.51701396 -1.2906223 ]
 [ 0.70245215  0.37398547  0.54829733 -0.65913497]
 [ 1.24754674 -1.65172424 -0.02227851  1.96165885]]",9,2.1841254357006608,[2.11375401 1.29863042 1.50101512 0.244938  ]
